CP001856.1	pBEN2908	98.001	14961	298	1	77253	92212	60344	75304	0.0	25629
CP001856.1	pBEN2908	99.850	12007	13	3	1	12004	32077	44081	0.0	21564
CP001856.1	pBEN2908	99.931	10078	7	0	111347	121424	123596	133673	0.0	18144
CP001856.1	pBEN2908	99.263	8411	52	9	128709	137115	6017	14421	0.0	14858
CP001856.1	pBEN2908	98.665	6068	27	33	121425	127490	1	6016	0.0	10478
CP001856.1	pBEN2908	99.705	3727	9	1	139569	143293	25278	29004	0.0	6670
CP001856.1	pBEN2908	96.242	3113	117	0	92827	95939	75896	79008	0.0	5087
CP001856.1	pBEN2908	97.208	1970	53	2	101181	103149	91593	93561	0.0	3298
CP001856.1	pBEN2908	89.922	2451	195	21	103416	105852	93553	95965	0.0	3259
CP001856.1	pBEN2908	99.699	1660	4	1	145401	147060	30418	32076	0.0	2968
CP001856.1	pBEN2908	99.048	1471	4	1	11997	13467	57654	56194	0.0	2595
CP001856.1	pBEN2908	97.168	1342	28	2	144061	145400	29004	30337	0.0	2250
CP001856.1	pBEN2908	98.815	1097	12	1	14612	15707	50796	49700	0.0	1917
CP001856.1	pBEN2908	99.485	777	4	0	126721	127497	117808	118584	0.0	1384
CP001856.1	pBEN2908	98.613	793	11	0	126722	127514	99168	99960	0.0	1381
CP001856.1	pBEN2908	99.870	768	1	0	110474	111241	99936	99169	0.0	1381
CP001856.1	pBEN2908	99.870	768	0	1	126723	127490	123595	122829	0.0	1378
CP001856.1	pBEN2908	99.740	768	2	0	138801	139568	99169	99936	0.0	1377
CP001856.1	pBEN2908	99.740	770	1	1	110472	111241	122827	123595	0.0	1377
CP001856.1	pBEN2908	99.353	773	5	0	110469	111241	118582	117810	0.0	1372
CP001856.1	pBEN2908	96.283	834	21	1	105852	106685	97757	98580	0.0	1370
CP001856.1	pBEN2908	99.609	768	2	1	138801	139568	123595	122829	0.0	1369
CP001856.1	pBEN2908	99.349	768	5	0	138801	139568	117810	118577	0.0	1363
CP001856.1	pBEN2908	98.828	768	9	0	43767	44534	117810	118577	0.0	1345
CP001856.1	pBEN2908	98.828	768	9	0	74016	74783	118577	117810	0.0	1345
CP001856.1	pBEN2908	98.830	769	8	1	74016	74784	122829	123596	0.0	1343
CP001856.1	pBEN2908	98.830	769	8	1	43766	44534	123596	122829	0.0	1343
CP001856.1	pBEN2908	98.700	769	10	0	43767	44535	99169	99937	0.0	1342
CP001856.1	pBEN2908	98.698	768	10	0	74016	74783	99936	99169	0.0	1341
CP001856.1	pBEN2908	98.700	769	4	4	110473	111241	6017	5255	0.0	1330
CP001856.1	pBEN2908	98.568	768	5	4	138801	139568	5255	6016	0.0	1324
CP001856.1	pBEN2908	97.680	776	12	4	74008	74783	6024	5255	0.0	1306
CP001856.1	pBEN2908	98.047	768	9	4	43767	44534	5255	6016	0.0	1306
CP001856.1	pBEN2908	91.417	769	66	0	126723	127491	23754	22986	0.0	1090
CP001856.1	pBEN2908	91.417	769	66	0	138800	139568	23755	22987	0.0	1090
CP001856.1	pBEN2908	91.406	768	66	0	74016	74783	22987	23754	0.0	1088
CP001856.1	pBEN2908	91.406	768	66	0	43767	44534	23754	22987	0.0	1088
CP001856.1	pBEN2908	91.276	768	67	0	110474	111241	22987	23754	0.0	1084
CP001856.1	pBEN2908	84.465	766	111	3	25943	26703	119174	119936	0.0	839
CP001856.1	pBEN2908	80.649	832	131	12	25886	26702	113848	114664	0.0	748
CP001856.1	pBEN2908	99.733	375	1	0	138426	138800	14419	14793	0.0	673
CP001856.1	pBEN2908	80.223	718	140	2	18827	19543	108746	109462	0.0	648
CP001856.1	pBEN2908	85.805	472	45	2	29834	30305	55762	55313	4.14e-159	561
CP001856.1	pBEN2908	92.466	146	11	0	141329	141474	29171	29316	7.04e-55	214
CP001856.1	pBEN2908	90.411	146	14	0	144228	144373	27040	27185	4.44e-51	201
CP001856.1	pBEN2908	100.000	86	0	0	95935	96020	84315	84400	1.66e-37	156
CP001856.1	pBEN2908	83.688	141	11	2	76467	76606	54524	54395	2.02e-36	153
CP001856.1	pBEN2908	100.000	71	0	0	143993	144063	30338	30408	2.30e-29	129
CP001856.1	pBEN2908	65.665	466	141	7	127712	128162	104337	103876	2.63e-22	105
CP001856.1	pBEN2908	98.246	57	1	0	107051	107107	93553	93609	3.90e-20	99.6
CP001856.1	pBEN2908	86.111	72	10	0	111294	111365	29004	29075	2.46e-16	86.0
CP001856.1	pBEN2908	92.857	56	4	0	137116	137171	108648	108593	8.59e-16	84.2
CP001856.1	pBEN2908	85.333	75	10	1	122724	122798	133469	133396	3.00e-15	83.3
CP001856.1	pBEN2908	92.593	54	4	0	101814	101867	92278	92225	1.05e-14	80.6
CP001856.1	pBEN2908	92.593	54	4	0	121232	121285	133534	133481	1.05e-14	80.6
CP001856.1	pBEN2908	73.387	124	33	0	131154	131277	109267	109390	4.45e-13	76.1
CP001856.1	pBEN2908	86.885	61	7	1	121161	121220	1349	1289	5.42e-12	71.6
CP001856.1	pBEN2908	97.436	39	1	0	106746	106784	93523	93561	2.31e-10	67.1
CP001856.1	pBEN2908	78.378	74	16	0	146483	146556	23842	23769	2.81e-09	62.6
CP001856.1	pBEN2908	90.909	44	4	0	91355	91398	74489	74446	2.81e-09	62.6
CP001856.1	pBEN2908	81.967	61	11	0	111538	111598	123847	123787	9.81e-09	61.7
CP001856.1	pBEN2908	82.759	58	10	0	120996	121053	29392	29449	9.81e-09	60.8
CP001856.1	pBEN2908	81.818	66	10	2	130375	130439	7746	7682	3.42e-08	59.0
CP001856.1	pBEN2908	74.194	93	23	1	128891	128982	106857	106949	1.19e-07	57.2
CP001856.1	pBEN2908	100.000	30	0	0	131954	131983	9290	9261	4.17e-07	55.4
CP001856.1	pBEN2908	80.000	60	12	0	29161	29220	122665	122724	4.17e-07	55.4
CP001856.1	pBEN2908	85.106	47	7	0	101190	101236	91648	91602	1.46e-06	54.5
CP001856.1	pBEN2908	80.702	57	11	0	144450	144506	133246	133302	1.46e-06	54.5
CP001856.1	pBEN2908	79.412	68	12	2	120336	120402	132651	132585	1.46e-06	53.6
CP001856.1	pBEN2908	68.212	151	44	2	130742	130890	108801	108949	5.08e-06	51.8
CP001856.1	pBEN2908	81.633	49	9	0	111545	111593	7737	7689	6.19e-05	49.1
CP001856.1	pBEN2908	81.633	49	9	0	130382	130430	123842	123794	6.19e-05	49.1
CP001856.1	pBEN2908	78.571	56	12	0	110361	110416	106856	106911	6.19e-05	48.2
CP001856.1	pBEN2908	82.353	51	7	2	146570	146619	22975	22926	7.54e-04	45.5
CP001856.1	pBEN2908	82.000	50	7	2	111543	111591	7689	7737	0.003	43.7
CP001856.1	pBEN2908	64.667	300	74	11	20801	21083	110209	110493	0.003	43.7
CP001856.1	pBEN2908	82.000	50	7	2	130382	130430	123792	123840	0.003	43.7
CP001856.1	pBEN2908	88.235	34	3	1	76511	76544	92000	92032	0.009	41.0
CP001856.1	pBEN2908	95.833	24	1	0	14310	14333	69366	69389	0.032	40.1
CP001856.1	pBEN2908	92.308	26	2	0	145427	145452	30469	30444	0.032	39.2
CP001856.1	pBEN2908	87.097	31	4	0	29161	29191	119064	119094	0.032	39.2
CP001856.1	pBEN2908	100.000	20	0	0	145349	145368	30305	30286	0.11	37.4
CP001856.1	pBEN2908	92.000	25	2	0	138401	138425	108624	108648	0.11	37.4
CP001856.1	pBEN2908	95.455	22	1	0	70739	70760	27308	27329	0.39	36.5
CP001856.1	pBEN2908	86.207	29	4	0	101592	101620	54474	54446	0.39	35.6
CP001856.1	pBEN2908	92.308	26	1	1	81739	81764	93422	93446	0.39	35.6
CP001856.1	pBEN2908	95.238	21	1	0	16125	16145	81689	81709	1.4	34.6
CP001856.1	pBEN2908	100.000	18	0	0	20505	20522	67663	67680	1.4	33.7
CP001856.1	pBEN2908	88.000	25	3	0	36020	36044	7343	7367	4.8	32.8
CP001856.1	pBEN2908	95.000	20	1	0	130580	130599	7720	7739	4.8	32.8
CP001856.1	pBEN2908	95.000	20	1	0	130413	130432	7887	7906	4.8	32.8
CP001856.1	pBEN2908	88.000	25	3	0	80691	80715	63806	63782	4.8	32.8
CP001856.1	pBEN2908	95.000	20	1	0	60192	60211	66730	66711	4.8	32.8
CP001856.1	pBEN2908	78.049	41	7	1	111206	111246	23020	22982	4.8	31.9
CP001856.1	pBEN2908	100.000	17	0	0	93181	93197	37257	37273	4.8	31.9
CP001856.1	pBEN2908	90.909	22	2	0	118583	118604	66227	66248	4.8	31.9
CP001856.1	pBEN2908	100.000	17	0	0	5179	5195	76250	76266	4.8	31.9
CP001856.1	pBEN2908	100.000	17	0	0	11709	11725	89341	89357	4.8	31.9
CP001856.1	pBEN2908	90.909	22	2	0	83136	83157	130832	130853	4.8	31.9
CP001856.1	pBEN2908	100.000	17	0	0	23951	23967	130863	130847	4.8	31.9
