Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End
fig|6666666.541064.peg.4465	CDS	LR740776.1	4525876	4527201	1326	DNA-damage-inducible protein F	- none -	4525876	4527201
fig|6666666.541064.peg.4466	CDS	LR740776.1	4527238	4527381	144	UPF0337 protein yjbJ	- none -	4527238	4527381
fig|6666666.541064.peg.4467	CDS	LR740776.1	4527431	4527775	345	Mobile element protein	- none -	4527431	4527775
fig|6666666.541064.peg.4468	CDS	LR740776.1	4527805	4527924	120	Mobile element protein	- none -	4527805	4527924
fig|6666666.541064.peg.4469	CDS	LR740776.1	4528470	4528844	375	Mobile element protein	- none -	4528470	4528844
fig|6666666.541064.peg.4470	CDS	LR740776.1	4528730	4528876	147	Mobile element protein	- none -	4528730	4528876
fig|6666666.541064.peg.4471	CDS	LR740776.1	4528899	4529651	753	Mobile element protein	- none -	4528899	4529651
fig|6666666.541064.peg.4472	CDS	LR740776.1	4529651	4530031	381	Mobile element protein	- none -	4529651	4530031
fig|6666666.541064.peg.4473	CDS	LR740776.1	4530092	4530217	126	UPF0337 protein yjbJ	- none -	4530092	4530217
fig|6666666.541064.peg.4474	CDS	LR740776.1	4530774	4530259	516	Zinc uptake regulation protein ZUR	Glycyl-tRNA synthetase containing cluster, Oxidative stress, Zinc regulated enzymes	4530259	4530774
fig|6666666.541064.peg.4475	CDS	LR740776.1	4530930	4531925	996	tRNA dihydrouridine synthase A	Possible RNA degradation cluster	4530930	4531925
fig|6666666.541064.peg.4476	CDS	LR740776.1	4532059	4532301	243	Phage shock protein G	- none -	4532059	4532301
fig|6666666.541064.peg.4477	CDS	LR740776.1	4533449	4532466	984	Quinone oxidoreductase (EC 1.6.5.5)	Quinone oxidoreductase family	4532466	4533449
fig|6666666.541064.peg.4478	CDS	LR740776.1	4535603	4533555	2049	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	Serine-glyoxylate cycle, Succinate dehydrogenase, TCA Cycle	4533555	4535603
fig|6666666.541064.peg.4479	CDS	LR740776.1	4536993	4535593	1401	Putative transmembrane transport protein	- none -	4535593	4536993
fig|6666666.541064.peg.4480	CDS	LR740776.1	4537863	4537084	780	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	Acetyl-CoA fermentation to Butyrate, Polyhydroxybutyrate metabolism	4537084	4537863
fig|6666666.541064.peg.4481	CDS	LR740776.1	4539427	4537856	1572	Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8) / Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	Acetyl-CoA fermentation to Butyrate, Acetyl-CoA fermentation to Butyrate	4537856	4539427
fig|6666666.541064.peg.4482	CDS	LR740776.1	4539683	4540717	1035	Transcriptional regulator, LacI family	- none -	4539683	4540717
fig|6666666.541064.peg.4483	CDS	LR740776.1	4540790	4542205	1416	Replicative DNA helicase (EC 3.6.1.-)	- none -	4540790	4542205
fig|6666666.541064.peg.4484	CDS	LR740776.1	4542258	4543337	1080	Alanine racemase (EC 5.1.1.1) ## biosynthetic	Alanine biosynthesis, Pyruvate Alanine Serine Interconversions	4542258	4543337
fig|6666666.541064.peg.4485	CDS	LR740776.1	4543360	4543917	558	Ribosyl nicotinamide transporter, PnuC-like	NAD and NADP cofactor biosynthesis global	4543360	4543917
