Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.1118	CDS	LR740776.1	1160630	1160169	462	Nudix-like NDP and NTP phosphohydrolase YmfB	CBSS-354.1.peg.876, Nudix proteins (nucleoside triphosphate hydrolases)	1160169	1160630	
fig|6666666.541064.peg.1119	CDS	LR740776.1	1161293	1160640	654	Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	CBSS-354.1.peg.876, RNA pseudouridine syntheses	1160640	1161293	
fig|6666666.541064.peg.1120	CDS	LR740776.1	1161494	1161381	114	FIG00643355: hypothetical protein	- none -	1161381	1161494	
fig|6666666.541064.peg.1121	CDS	LR740776.1	1161465	1162715	1251	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	5-FCL-like protein, TCA Cycle	1161465	1162715	
fig|6666666.541064.peg.1122	CDS	LR740776.1	1163971	1162829	1143	Integrase	- none -	1162829	1163971	
fig|6666666.541064.peg.1123	CDS	LR740776.1	1164453	1164337	117	FIG00639352: hypothetical protein	- none -	1164337	1164453	
fig|6666666.541064.peg.1124	CDS	LR740776.1	1164886	1164560	327	Phage protein	- none -	1164560	1164886	
fig|6666666.541064.peg.1125	CDS	LR740776.1	1165107	1164886	222	Hypothetical Zinc-finger containing protein	- none -	1164886	1165107	
fig|6666666.541064.peg.1126	CDS	LR740776.1	1165417	1165301	117	hypothetical protein	- none -	1165301	1165417	
fig|6666666.541064.peg.1127	CDS	LR740776.1	1165607	1165494	114	Phage protein	- none -	1165494	1165607	
fig|6666666.541064.peg.1128	CDS	LR740776.1	1166517	1165837	681	Phage exonuclease (EC 3.1.11.3); Putative phage-encoded enzyme involved in integration-recombination	- none -	1165837	1166517	
fig|6666666.541064.peg.1129	CDS	LR740776.1	1167299	1166514	786	Recombinational DNA repair protein RecT (prophage associated)	DNA repair, bacterial	1166514	1167299	
fig|6666666.541064.peg.1130	CDS	LR740776.1	1167601	1167305	297	Mobile element protein	- none -	1167305	1167601	
fig|6666666.541064.peg.1131	CDS	LR740776.1	1167820	1167677	144	Kil protein	- none -	1167677	1167820	
fig|6666666.541064.peg.1132	CDS	LR740776.1	1168394	1168026	369	Single stranded DNA-binding protein, phage-associated	Phage replication	1168026	1168394	
fig|6666666.541064.peg.1133	CDS	LR740776.1	1168699	1168577	123	antirestriction protein	- none -	1168577	1168699	
fig|6666666.541064.peg.1134	CDS	LR740776.1	1168991	1169572	582	putative superinfection exclusion protein	- none -	1168991	1169572	
fig|6666666.541064.peg.1135	CDS	LR740776.1	1169609	1169722	114	hypothetical protein	- none -	1169609	1169722	
fig|6666666.541064.peg.1136	CDS	LR740776.1	1171050	1170298	753	FIG00641337: hypothetical protein	- none -	1170298	1171050	
fig|6666666.541064.peg.1137	CDS	LR740776.1	1172339	1171644	696	Putative cI repressor protein for prophage CP-933H	- none -	1171644	1172339	
fig|6666666.541064.peg.1138	CDS	LR740776.1	1172952	1173068	117	Phage repressor	- none -	1172952	1173068	
fig|6666666.541064.peg.1139	CDS	LR740776.1	1173101	1174000	900	Origin specific replication initiation factor	Phage replication	1173101	1174000	
fig|6666666.541064.peg.1140	CDS	LR740776.1	1173997	1174698	702	Origin specific replication binding factor #replication protein P	Phage replication	1173997	1174698	
fig|6666666.541064.peg.1141	CDS	LR740776.1	1174695	1174985	291	Ren protein	- none -	1174695	1174985	
fig|6666666.541064.peg.1142	CDS	LR740776.1	1175059	1175499	441	Phage NinB DNA recombination	Phage nin genes - N-independent survival	1175059	1175499	
fig|6666666.541064.peg.1143	CDS	LR740776.1	1175496	1176023	528	Phage DNA N-6-adenine methyltransferase	- none -	1175496	1176023	
fig|6666666.541064.peg.1144	CDS	LR740776.1	1176199	1176540	342	Phage NinX	Phage nin genes - N-independent survival	1176199	1176540	
fig|6666666.541064.peg.1145	CDS	LR740776.1	1176747	1177109	363	Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)	- none -	1176747	1177109	
fig|6666666.541064.peg.1146	CDS	LR740776.1	1177109	1177246	138	hypothetical protein	- none -	1177109	1177246	
fig|6666666.541064.peg.1147	CDS	LR740776.1	1177332	1177715	384	Phage antitermination protein Q	Phage nin genes - N-independent survival	1177332	1177715	
fig|6666666.541064.peg.1148	CDS	LR740776.1	1179046	1177904	1143	Outer membrane porin protein NmpC precursor	Uptake of selenate and selenite	1177904	1179046	
fig|6666666.541064.peg.1149	CDS	LR740776.1	1179575	1179790	216	Phage holin	Phage lysis modules	1179575	1179790	
fig|6666666.541064.peg.1150	CDS	LR740776.1	1179790	1180023	234	Phage lysin (EC 3.2.1.17) # Phage lysozyme or muramidase (EC 3.2.1.17)	Phage lysis modules	1179790	1180023	
