Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.4779	CDS	LR740776.1	4843070	4842051	1020	Alcohol dehydrogenase (EC 1.1.1.1)	5-FCL-like protein, Butanol Biosynthesis, Fermentations: Mixed acid, Glycerolipid and Glycerophospholipid Metabolism in Bacteria	4842051	4843070	
fig|6666666.541064.rna.109	RNA	LR740776.1	4843266	4843350	85	tRNA-Leu-CAA	tRNAs	4843266	4843350	
fig|6666666.541064.peg.4780	CDS	LR740776.1	4843537	4844802	1266	Mobile element protein	- none -	4843537	4844802	
fig|6666666.541064.peg.4781	CDS	LR740776.1	4844886	4845011	126	hypothetical protein	- none -	4844886	4845011	
fig|6666666.541064.peg.4782	CDS	LR740776.1	4846499	4845126	1374	Dca	- none -	4845126	4846499	
fig|6666666.541064.peg.4783	CDS	LR740776.1	4846522	4846689	168	FIG00641722: hypothetical protein	- none -	4846522	4846689	
fig|6666666.541064.peg.4784	CDS	LR740776.1	4847539	4846799	741	Peptide transport periplasmic protein sapA (TC 3.A.1.5.5)	- none -	4846799	4847539	
fig|6666666.541064.peg.4785	CDS	LR740776.1	4848574	4848395	180	Ferric iron ABC transporter, permease protein	- none -	4848395	4848574	
fig|6666666.541064.peg.4786	CDS	LR740776.1	4848816	4848622	195	hypothetical protein	- none -	4848622	4848816	
fig|6666666.541064.peg.4787	CDS	LR740776.1	4850845	4848866	1980	Putative phosphatase	- none -	4848866	4850845	
fig|6666666.541064.peg.4788	CDS	LR740776.1	4851462	4851268	195	Mobile element protein	- none -	4851268	4851462	
fig|6666666.541064.peg.4789	CDS	LR740776.1	4851596	4851796	201	Mobile element protein	- none -	4851596	4851796	
fig|6666666.541064.peg.4790	CDS	LR740776.1	4851936	4852076	141	Mobile element protein	- none -	4851936	4852076	
fig|6666666.541064.peg.4791	CDS	LR740776.1	4852185	4852739	555	Mobile element protein	- none -	4852185	4852739	
fig|6666666.541064.peg.4792	CDS	LR740776.1	4853972	4852773	1200	Mobile element protein	- none -	4852773	4853972	
fig|6666666.541064.peg.4793	CDS	LR740776.1	4854310	4853930	381	Mobile element protein	- none -	4853930	4854310	
fig|6666666.541064.peg.4794	CDS	LR740776.1	4854593	4854360	234	Mobile element protein	- none -	4854360	4854593	
fig|6666666.541064.peg.4795	CDS	LR740776.1	4855434	4855571	138	Mobile element protein	- none -	4855434	4855571	
fig|6666666.541064.peg.4796	CDS	LR740776.1	4855547	4855720	174	Mobile element protein	- none -	4855547	4855720	
fig|6666666.541064.peg.4797	CDS	LR740776.1	4855799	4855918	120	Mobile element protein	- none -	4855799	4855918	
fig|6666666.541064.peg.4798	CDS	LR740776.1	4856464	4856742	279	Mobile element protein	- none -	4856464	4856742	
fig|6666666.541064.peg.4799	CDS	LR740776.1	4856890	4857123	234	Mobile element protein	- none -	4856890	4857123	
fig|6666666.541064.peg.4800	CDS	LR740776.1	4857114	4858025	912	Mobile element protein	- none -	4857114	4858025	
fig|6666666.541064.peg.4801	CDS	LR740776.1	4859140	4858349	792	FIG00638682: hypothetical protein	- none -	4858349	4859140	
fig|6666666.541064.peg.4802	CDS	LR740776.1	4860919	4859159	1761	membrane; Transport of small molecules: Cations	- none -	4859159	4860919	
fig|6666666.541064.peg.4803	CDS	LR740776.1	4861649	4861389	261	Mobile element protein	- none -	4861389	4861649	
fig|6666666.541064.peg.4804	CDS	LR740776.1	4862366	4862106	261	IS2 orf1,	- none -	4862106	4862366	
