Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.2204	CDS	LR740776.1	2169849	2168683	1167	UDP-glucose dehydrogenase (EC 1.1.1.22)	- none -	2168683	2169849	
fig|6666666.541064.peg.2205	CDS	LR740776.1	2171502	2170096	1407	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	D-gluconate and ketogluconates metabolism, Pentose phosphate pathway	2170096	2171502	
fig|6666666.541064.peg.2206	CDS	LR740776.1	2173266	2171638	1629	Phosphoglycerol transferase I (EC 2.7.8.20)	Synthesis of osmoregulated periplasmic glucans	2171638	2173266	
fig|6666666.541064.peg.2207	CDS	LR740776.1	2173637	2173335	303	Mobile element protein	- none -	2173335	2173637	
fig|6666666.541064.peg.2208	CDS	LR740776.1	2174300	2173875	426	Mobile element protein	- none -	2173875	2174300	
fig|6666666.541064.peg.2209	CDS	LR740776.1	2174452	2174330	123	Mobile element protein	- none -	2174330	2174452	
fig|6666666.541064.peg.2210	CDS	LR740776.1	2175766	2175212	555	Mobile element protein	- none -	2175212	2175766	
fig|6666666.541064.peg.2211	CDS	LR740776.1	2177021	2175945	1077	Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)	Rhamnose containing glycans	2175945	2177021	
fig|6666666.541064.peg.2212	CDS	LR740776.1	2177939	2177052	888	dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	dTDP-rhamnose synthesis	2177052	2177939	
fig|6666666.541064.peg.2213	CDS	LR740776.1	2178894	2177932	963	putative O-antigen polymerase	- none -	2177932	2178894	
fig|6666666.541064.peg.2214	CDS	LR740776.1	2179520	2178963	558	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	Capsular heptose biosynthesis, Rhamnose containing glycans, dTDP-rhamnose synthesis	2178963	2179520	
fig|6666666.541064.peg.2215	CDS	LR740776.1	2180590	2179541	1050	hypothetical protein	- none -	2179541	2180590	
fig|6666666.541064.peg.2216	CDS	LR740776.1	2181869	2180607	1263	WzxE protein	- none -	2180607	2181869	
fig|6666666.541064.peg.2217	CDS	LR740776.1	2182975	2181869	1107	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.-)	Lipid A-Ara4N pathway ( Polymyxin resistance )	2181869	2182975	
fig|6666666.541064.peg.2218	CDS	LR740776.1	2183601	2183422	180	FIG01210424: hypothetical protein	- none -	2183422	2183601	
fig|6666666.541064.peg.2219	CDS	LR740776.1	2184725	2183850	876	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Rhamnose containing glycans, dTDP-rhamnose synthesis	2183850	2184725	
fig|6666666.541064.peg.2220	CDS	LR740776.1	2185683	2184784	900	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	Rhamnose containing glycans, dTDP-rhamnose synthesis	2184784	2185683	
fig|6666666.541064.peg.2221	CDS	LR740776.1	2186768	2185683	1086	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	Rhamnose containing glycans, dTDP-rhamnose synthesis	2185683	2186768	
fig|6666666.541064.peg.2222	CDS	LR740776.1	2188034	2187141	894	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	- none -	2187141	2188034	
fig|6666666.541064.peg.2223	CDS	LR740776.1	2189603	2188209	1395	Colanic acid biosynthesis protein wcaM	- none -	2188209	2189603	
