Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.2003	CDS	LR740776.1	1991442	1992077	636	FIG001196: Membrane protein YedZ	CBSS-211586.1.peg.1859	1991442	1992077	
fig|6666666.541064.peg.2004	CDS	LR740776.1	1992335	1992985	651	Candidate zinc-binding lipoprotein ZinT	- none -	1992335	1992985	
fig|6666666.541064.peg.2005	CDS	LR740776.1	1993833	1995083	1251	Probable integrase remnant	- none -	1993833	1995083	
fig|6666666.541064.peg.2006	CDS	LR740776.1	1995523	1995371	153	hypothetical protein	- none -	1995371	1995523	
fig|6666666.541064.peg.2007	CDS	LR740776.1	1997804	1996341	1464	PilV-like protein	- none -	1996341	1997804	
fig|6666666.541064.peg.2008	CDS	LR740776.1	1998402	1997857	546	Putative type IV pilin protein precursor	- none -	1997857	1998402	
fig|6666666.541064.peg.2009	CDS	LR740776.1	1999104	1998799	306	FIG00641174: hypothetical protein	- none -	1998799	1999104	
fig|6666666.541064.peg.2010	CDS	LR740776.1	1999466	1999101	366	hypothetical protein	- none -	1999101	1999466	
fig|6666666.541064.peg.2011	CDS	LR740776.1	1999771	2000649	879	hypothetical protein	- none -	1999771	2000649	
fig|6666666.541064.peg.2012	CDS	LR740776.1	2000961	2000653	309	hypothetical protein	- none -	2000653	2000961	
fig|6666666.541064.peg.2013	CDS	LR740776.1	2001374	2001261	114	hypothetical protein	- none -	2001261	2001374	
fig|6666666.541064.peg.2014	CDS	LR740776.1	2002034	2001912	123	hypothetical protein	- none -	2001912	2002034	
fig|6666666.541064.peg.2015	CDS	LR740776.1	2002059	2003540	1482	FIG00639151: hypothetical protein	- none -	2002059	2003540	
fig|6666666.541064.peg.2016	CDS	LR740776.1	2004570	2004716	147	hypothetical protein	- none -	2004570	2004716	
fig|6666666.541064.peg.2017	CDS	LR740776.1	2005342	2004812	531	FIG00639580: hypothetical protein	- none -	2004812	2005342	
fig|6666666.541064.peg.2018	CDS	LR740776.1	2005541	2005347	195	hypothetical protein	- none -	2005347	2005541	
fig|6666666.541064.peg.2019	CDS	LR740776.1	2006329	2006499	171	hypothetical protein	- none -	2006329	2006499	
fig|6666666.541064.peg.2020	CDS	LR740776.1	2006817	2007191	375	hypothetical protein	- none -	2006817	2007191	
fig|6666666.541064.peg.2021	CDS	LR740776.1	2007261	2007458	198	hypothetical protein	- none -	2007261	2007458	
fig|6666666.541064.peg.2022	CDS	LR740776.1	2008015	2007830	186	hypothetical protein	- none -	2007830	2008015	
fig|6666666.541064.peg.2023	CDS	LR740776.1	2009283	2008033	1251	FIG00638315: hypothetical protein	- none -	2008033	2009283	
fig|6666666.541064.peg.2024	CDS	LR740776.1	2010051	2009494	558	hypothetical protein	- none -	2009494	2010051	
fig|6666666.541064.peg.2025	CDS	LR740776.1	2014127	2011464	2664	IncI1 plasmid conjugative transfer integral membrane protein TraY	- none -	2011464	2014127	
fig|6666666.541064.peg.2026	CDS	LR740776.1	2014317	2014186	132	hypothetical protein	- none -	2014186	2014317	
fig|6666666.541064.peg.2027	CDS	LR740776.1	2014617	2014742	126	hypothetical protein	- none -	2014617	2014742	
fig|6666666.541064.peg.2028	CDS	LR740776.1	2015091	2015969	879	hypothetical protein	- none -	2015091	2015969	
fig|6666666.541064.peg.2029	CDS	LR740776.1	2016396	2016509	114	hypothetical protein	- none -	2016396	2016509	
fig|6666666.541064.peg.2030	CDS	LR740776.1	2017112	2018173	1062	Mobile element protein	- none -	2017112	2018173	
fig|6666666.541064.peg.2031	CDS	LR740776.1	2018528	2018899	372	Type I restriction enzyme EcoR124II M protein (EC 2.1.1.72)	- none -	2018528	2018899	
fig|6666666.541064.peg.2032	CDS	LR740776.1	2019105	2019287	183	hypothetical protein	- none -	2019105	2019287	
fig|6666666.541064.peg.2033	CDS	LR740776.1	2019288	2019881	594	FIG01221857: hypothetical protein	- none -	2019288	2019881	
fig|6666666.541064.peg.2034	CDS	LR740776.1	2019947	2020426	480	FIG00037758: hypothetical protein	- none -	2019947	2020426	
fig|6666666.541064.peg.2035	CDS	LR740776.1	2020582	2020986	405	DNA-binding protein H-NS	- none -	2020582	2020986	
fig|6666666.541064.peg.2036	CDS	LR740776.1	2021317	2021165	153	hypothetical protein	- none -	2021165	2021317	
fig|6666666.541064.peg.2037	CDS	LR740776.1	2023048	2021777	1272	hypothetical protein APECO1_2271	- none -	2021777	2023048	
fig|6666666.541064.peg.2038	CDS	LR740776.1	2023592	2023296	297	FIG00639556: hypothetical protein	- none -	2023296	2023592	
fig|6666666.541064.peg.2039	CDS	LR740776.1	2023860	2023702	159	FIG01047641: hypothetical protein	- none -	2023702	2023860	
fig|6666666.541064.peg.2040	CDS	LR740776.1	2025279	2024443	837	FIG00640071: hypothetical protein	- none -	2024443	2025279	
fig|6666666.541064.rna.38	RNA	LR740776.1	2025647	2025558	90	tRNA-Ser-CGA	tRNAs	2025558	2025647	
fig|6666666.541064.peg.2041	CDS	LR740776.1	2025855	2026538	684	FIG01220476: hypothetical protein	- none -	2025855	2026538	
fig|6666666.541064.rna.39	RNA	LR740776.1	2026639	2026714	76	tRNA-Asn-GTT	- none -	2026639	2026714	
fig|6666666.541064.peg.2042	CDS	LR740776.1	2026876	2028138	1263	Mobile element protein	- none -	2026876	2028138	
fig|6666666.541064.peg.2043	CDS	LR740776.1	2029636	2028332	1305	Anthranilate synthase, aminase component (EC 4.1.3.27)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more., Tryptophan synthesis	2028332	2029636	
fig|6666666.541064.peg.2044	CDS	LR740776.1	2030944	2029664	1281	AmpG permease	Recycling of Peptidoglycan Amino Acids	2029664	2030944	
fig|6666666.541064.peg.2045	CDS	LR740776.1	2032739	2030949	1791	Inner membrane ABC-transporter YbtQ	- none -	2030949	2032739	
fig|6666666.541064.peg.2046	CDS	LR740776.1	2034438	2032726	1713	Putative ABC iron siderophore transporter, fused permease and ATPase domains	- none -	2032726	2034438	
fig|6666666.541064.peg.2047	CDS	LR740776.1	2034695	2035654	960	iron aquisition regulator (YbtA,AraC-like,required for transcription of FyuA/psn,Irp2)	- none -	2034695	2035654	
fig|6666666.541064.peg.2048	CDS	LR740776.1	2035845	2037557	1713	iron aquisition yersiniabactin synthesis enzyme (Irp2)	- none -	2035845	2037557	
fig|6666666.541064.peg.2049	CDS	LR740776.1	2037547	2041956	4410	iron aquisition yersiniabactin synthesis enzyme (Irp2)	- none -	2037547	2041956	
fig|6666666.541064.peg.2050	CDS	LR740776.1	2042044	2051535	9492	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase)	- none -	2042044	2051535	
