Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.1518	CDS	LR740776.1	1527379	1525880	1500	L-asparagine permease	- none -	1525880	1527379	
fig|6666666.541064.peg.1519	CDS	LR740776.1	1527646	1527822	177	Uncharacterized GST-like protein yncG	Glutathione: Non-redox reactions	1527646	1527822	
fig|6666666.541064.peg.1520	CDS	LR740776.1	1527863	1528246	384	Uncharacterized GST-like protein yncG	Glutathione: Non-redox reactions	1527863	1528246	
fig|6666666.541064.peg.1521	CDS	LR740776.1	1528787	1529071	285	Uropathogenic specific protein	- none -	1528787	1529071	
fig|6666666.541064.peg.1522	CDS	LR740776.1	1529090	1530652	1563	VgrG-3 protein	Type VI secretion systems	1529090	1530652	
fig|6666666.541064.peg.1523	CDS	LR740776.1	1531119	1530730	390	Mobile element protein	- none -	1530730	1531119	
fig|6666666.541064.peg.1524	CDS	LR740776.1	1531481	1531134	348	Mobile element protein	- none -	1531134	1531481	
fig|6666666.541064.peg.1525	CDS	LR740776.1	1531705	1531472	234	Mobile element protein	- none -	1531472	1531705	
fig|6666666.541064.peg.1526	CDS	LR740776.1	1531874	1531728	147	Mobile element protein	- none -	1531728	1531874	
fig|6666666.541064.peg.1527	CDS	LR740776.1	1532134	1531760	375	Mobile element protein	- none -	1531760	1532134	
fig|6666666.541064.peg.1528	CDS	LR740776.1	1532247	1532417	171	hypothetical protein	- none -	1532247	1532417	
fig|6666666.541064.peg.1529	CDS	LR740776.1	1532796	1532677	120	Mobile element protein	- none -	1532677	1532796	
fig|6666666.541064.peg.1530	CDS	LR740776.1	1533048	1532875	174	Mobile element protein	- none -	1532875	1533048	
fig|6666666.541064.peg.1531	CDS	LR740776.1	1533136	1534173	1038	VgrG protein	Type VI secretion systems, USS-DB-7	1533136	1534173	
fig|6666666.541064.peg.1532	CDS	LR740776.1	1534163	1534924	762	FIG00641586: hypothetical protein	- none -	1534163	1534924	
fig|6666666.541064.peg.1533	CDS	LR740776.1	1535060	1535761	702	FIG00640713: hypothetical protein	- none -	1535060	1535761	
fig|6666666.541064.peg.1534	CDS	LR740776.1	1535874	1536017	144	Mobile element protein	- none -	1535874	1536017	
fig|6666666.541064.peg.1535	CDS	LR740776.1	1536095	1536310	216	FIG00641706: hypothetical protein	- none -	1536095	1536310	
fig|6666666.541064.peg.1536	CDS	LR740776.1	1537196	1536627	570	NAD(P)H-flavin oxidoreductase	- none -	1536627	1537196	
