Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.2068	CDS	LR740776.1	2073733	2072990	744	Cobalamin synthase (EC 2.7.8.26)	Cobalamin synthesis, Coenzyme B12 biosynthesis	2072990	2073733	
fig|6666666.541064.peg.2069	CDS	LR740776.1	2074275	2073730	546	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	Cobalamin synthesis, Coenzyme B12 biosynthesis	2073730	2074275	
fig|6666666.541064.peg.2070	CDS	LR740776.1	2074549	2074427	123	FIG01068879: hypothetical protein	- none -	2074427	2074549	
fig|6666666.541064.peg.2071	CDS	LR740776.1	2075978	2074779	1200	Mobile element protein	- none -	2074779	2075978	
fig|6666666.541064.peg.2072	CDS	LR740776.1	2076316	2075936	381	Mobile element protein	- none -	2075936	2076316	
fig|6666666.541064.peg.2073	CDS	LR740776.1	2076713	2076366	348	Mobile element protein	- none -	2076366	2076713	
fig|6666666.541064.peg.2074	CDS	LR740776.1	2077353	2077189	165	FIG00639305: hypothetical protein	- none -	2077189	2077353	
fig|6666666.541064.peg.2075	CDS	LR740776.1	2078318	2078593	276	Mobile element protein	- none -	2078318	2078593	
fig|6666666.541064.peg.2076	CDS	LR740776.1	2078593	2079072	480	Mobile element protein	- none -	2078593	2079072	
fig|6666666.541064.peg.2077	CDS	LR740776.1	2079369	2079482	114	Mobile element protein	- none -	2079369	2079482	
fig|6666666.541064.peg.2078	CDS	LR740776.1	2079837	2080301	465	Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)	Group II intron-associated genes	2079837	2080301	
fig|6666666.541064.peg.2079	CDS	LR740776.1	2080276	2081181	906	Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)	Group II intron-associated genes	2080276	2081181	
fig|6666666.541064.peg.2080	CDS	LR740776.1	2081373	2081744	372	Mobile element protein	- none -	2081373	2081744	
fig|6666666.541064.peg.2081	CDS	LR740776.1	2082398	2082033	366	Mobile element protein	- none -	2082033	2082398	
fig|6666666.541064.peg.2082	CDS	LR740776.1	2082509	2082652	144	Putative inner membrane protein	- none -	2082509	2082652	
fig|6666666.541064.peg.2083	CDS	LR740776.1	2082655	2083689	1035	Puative phophotriesterase	- none -	2082655	2083689	
fig|6666666.541064.peg.2084	CDS	LR740776.1	2083842	2083729	114	Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Glutathione: Biosynthesis and gamma-glutamyl cycle	2083729	2083842	
fig|6666666.541064.peg.2085	CDS	LR740776.1	2084057	2083833	225	Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Glutathione: Biosynthesis and gamma-glutamyl cycle	2083833	2084057	
fig|6666666.541064.peg.2086	CDS	LR740776.1	2085720	2084341	1380	Mobile element protein	- none -	2084341	2085720	
fig|6666666.541064.peg.2087	CDS	LR740776.1	2086413	2085895	519	FIG00638721: hypothetical protein	- none -	2085895	2086413	
fig|6666666.541064.peg.2088	CDS	LR740776.1	2086802	2086401	402	FIG00639161: hypothetical protein	- none -	2086401	2086802	
fig|6666666.541064.peg.2089	CDS	LR740776.1	2087631	2087062	570	Intergenic-region protein	- none -	2087062	2087631	
fig|6666666.541064.peg.2090	CDS	LR740776.1	2088643	2088446	198	Haemolysin expression modulating protein paralog	- none -	2088446	2088643	
fig|6666666.541064.peg.2091	CDS	LR740776.1	2089352	2089558	207	FIG00638000: hypothetical protein	- none -	2089352	2089558	
fig|6666666.541064.peg.2092	CDS	LR740776.1	2089645	2090181	537	FIG00638808: hypothetical protein	- none -	2089645	2090181	
fig|6666666.541064.peg.2093	CDS	LR740776.1	2090796	2090563	234	Hyphotheical protein	- none -	2090563	2090796	
