Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.4179	CDS	LR740776.1	4222163	4223185	1023	Lysophospholipase L2 (EC 3.1.1.5)	Triacylglycerol metabolism	4222163	4223185	
fig|6666666.541064.peg.4180	CDS	LR740776.1	4223193	4223993	801	Cof protein, HD superfamily hydrolase	Housecleaning nucleoside triphosphate pyrophosphatases	4223193	4223993	
fig|6666666.541064.peg.4181	CDS	LR740776.1	4224069	4224968	900	FIG00639538: hypothetical protein	- none -	4224069	4224968	
fig|6666666.541064.peg.4182	CDS	LR740776.1	4225944	4225819	126	hypothetical protein	- none -	4225819	4225944	
fig|6666666.541064.peg.4183	CDS	LR740776.1	4225927	4228188	2262	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	Methionine Biosynthesis	4225927	4228188	
fig|6666666.541064.peg.4184	CDS	LR740776.1	4228934	4228677	258	FIG00637936: hypothetical protein	- none -	4228677	4228934	
fig|6666666.541064.peg.4185	CDS	LR740776.1	4229620	4228931	690	Colicin	- none -	4228931	4229620	
fig|6666666.541064.peg.4186	CDS	LR740776.1	4230549	4231106	558	6-phospho-3-hexuloisomerase	Formaldehyde assimilation: Ribulose monophosphate pathway	4230549	4231106	
fig|6666666.541064.peg.4187	CDS	LR740776.1	4231148	4232656	1509	PTS system, glucose-specific IIC component (EC 2.7.1.69) / PTS system, glucose-specific IIB component (EC 2.7.1.69) / PTS system, glucose-specific IIA component (EC 2.7.1.69)	Trehalose Uptake and Utilization, Trehalose Uptake and Utilization, Trehalose Uptake and Utilization	4231148	4232656	
fig|6666666.541064.peg.4188	CDS	LR740776.1	4232707	4234704	1998	Transketolase (EC 2.2.1.1)	Pentose phosphate pathway	4232707	4234704	
fig|6666666.541064.peg.4189	CDS	LR740776.1	4235579	4234734	846	Sialic acid utilization regulator, RpiR family	Sialic Acid Metabolism	4234734	4235579	
fig|6666666.541064.peg.4190	CDS	LR740776.1	4236685	4235780	906	LysR-family transcriptional regulator YdhB	CBSS-326442.4.peg.1852, LysR-family proteins in Salmonella enterica Typhimurium	4235780	4236685	
fig|6666666.541064.peg.4191	CDS	LR740776.1	4237986	4236763	1224	Cytosine/purine/uracil/thiamine/allantoin permease family protein	Purine Utilization	4236763	4237986	
fig|6666666.541064.peg.4192	CDS	LR740776.1	4238401	4238012	390	Allophanate hydrolase (EC 3.5.1.54)	Urea carboxylase and Allophanate hydrolase cluster	4238012	4238401	
fig|6666666.541064.peg.4193	CDS	LR740776.1	4239374	4238418	957	Carbamate kinase (EC 2.7.2.2)	Arginine Deiminase Pathway, Arginine and Ornithine Degradation, Polyamine Metabolism	4238418	4239374	
fig|6666666.541064.peg.4194	CDS	LR740776.1	4240791	4239367	1425	FIG074102: hypothetical protein	- none -	4239367	4240791	
fig|6666666.541064.peg.4195	CDS	LR740776.1	4242347	4240788	1560	Protein fdrA	- none -	4240788	4242347	
fig|6666666.541064.peg.4196	CDS	LR740776.1	4243302	4242442	861	FIG00639575: hypothetical protein	- none -	4242442	4243302	
fig|6666666.541064.peg.4197	CDS	LR740776.1	4243976	4243308	669	Isochorismatase (EC 3.3.2.1)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	4243308	4243976	
fig|6666666.541064.peg.4198	CDS	LR740776.1	4244086	4244202	117	hypothetical protein	- none -	4244086	4244202	
fig|6666666.541064.peg.4199	CDS	LR740776.1	4245042	4244233	810	Putative carboxymethylenebutenolidase (EC 3.1.1.45)	- none -	4244233	4245042	
fig|6666666.541064.peg.4200	CDS	LR740776.1	4245304	4246068	765	Uridine phosphorylase (EC 2.4.2.3)	pyrimidine conversions	4245304	4246068	
