Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.2527	CDS	LR740776.1	2525086	2524802	285	FIG00637865: hypothetical protein	- none -	2524802	2525086	
fig|6666666.541064.peg.2528	CDS	LR740776.1	2525458	2526798	1341	Long-chain fatty acid transport protein	- none -	2525458	2526798	
fig|6666666.541064.peg.2529	CDS	LR740776.1	2527611	2526856	756	Lipoprotein	- none -	2526856	2527611	
fig|6666666.541064.peg.2530	CDS	LR740776.1	2527750	2527637	114	FIG00639039: hypothetical protein	- none -	2527637	2527750	
fig|6666666.541064.peg.2531	CDS	LR740776.1	2527905	2528837	933	putative transport	- none -	2527905	2528837	
fig|6666666.541064.rna.44	RNA	LR740776.1	2528913	2528987	75	tRNA-Arg-CCT	- none -	2528913	2528987	
fig|6666666.541064.peg.2532	CDS	LR740776.1	2529149	2530306	1158	Phage integrase	- none -	2529149	2530306	
fig|6666666.541064.peg.2533	CDS	LR740776.1	2530881	2530546	336	putative capsule O-acetyl transferase	- none -	2530546	2530881	
fig|6666666.541064.peg.2534	CDS	LR740776.1	2531014	2531169	156	hypothetical protein	- none -	2531014	2531169	
fig|6666666.541064.peg.2535	CDS	LR740776.1	2534435	2531490	2946	Phage tail fibers	Phage tail fiber proteins	2531490	2534435	
fig|6666666.541064.peg.2536	CDS	LR740776.1	2535492	2534614	879	putative antirepressor protein	- none -	2534614	2535492	
fig|6666666.541064.peg.2537	CDS	LR740776.1	2535719	2535555	165	FIG00643210: hypothetical protein	- none -	2535555	2535719	
fig|6666666.541064.peg.2538	CDS	LR740776.1	2537130	2536687	444	possible prophage ps3 protein01-like protein	- none -	2536687	2537130	
fig|6666666.541064.peg.2539	CDS	LR740776.1	2539863	2538022	1842	Phage DNA transfer protein	- none -	2538022	2539863	
fig|6666666.541064.peg.2540	CDS	LR740776.1	2541269	2539860	1410	Phage DNA transfer protein	- none -	2539860	2541269	
fig|6666666.541064.peg.2541	CDS	LR740776.1	2541953	2541279	675	Phage DNA transfer protein	- none -	2541279	2541953	
fig|6666666.541064.peg.2542	CDS	LR740776.1	2542407	2541931	477	FIG00639797: hypothetical protein	- none -	2541931	2542407	
fig|6666666.541064.peg.2543	CDS	LR740776.1	2543360	2542407	954	DNA stabilization, phage-associated	- none -	2542407	2543360	
fig|6666666.541064.peg.2544	CDS	LR740776.1	2544778	2543360	1419	DNA stabilization, phage-associated	- none -	2543360	2544778	
fig|6666666.541064.peg.2545	CDS	LR740776.1	2545180	2544788	393	DNA stabilization, phage-associated	- none -	2544788	2545180	
