Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.4590	CDS	LR740776.1	4653993	4652659	1335	Lysine/cadaverine antiporter membrane protein CadB	Lysine degradation	4652659	4653993	
fig|6666666.541064.peg.4591	CDS	LR740776.1	4655897	4654359	1539	Transcriptional activator of cad operon	Lysine degradation	4654359	4655897	
fig|6666666.541064.peg.4592	CDS	LR740776.1	4657215	4656646	570	Z1226 protein	- none -	4656646	4657215	
fig|6666666.541064.peg.4593	CDS	LR740776.1	4657509	4657312	198	FIG00640476: hypothetical protein	- none -	4657312	4657509	
fig|6666666.541064.peg.4594	CDS	LR740776.1	4658009	4657521	489	Z5092 protein	- none -	4657521	4658009	
fig|6666666.541064.peg.4595	CDS	LR740776.1	4658380	4658006	375	YeeV toxin protein	Toxin-antitoxin replicon stabilization systems	4658006	4658380	
fig|6666666.541064.peg.4596	CDS	LR740776.1	4658736	4658470	267	YeeU protein (antitoxin to YeeV)	Toxin-antitoxin replicon stabilization systems	4658470	4658736	
fig|6666666.541064.peg.4597	CDS	LR740776.1	4659001	4658888	114	hypothetical protein	- none -	4658888	4659001	
fig|6666666.541064.peg.4598	CDS	LR740776.1	4659222	4659001	222	Uncharacterized protein YkfH	- none -	4659001	4659222	
fig|6666666.541064.peg.4599	CDS	LR740776.1	4659758	4659285	474	DNA repair protein RadC	Bacterial cell division cluster, DNA repair, bacterial	4659285	4659758	
fig|6666666.541064.peg.4600	CDS	LR740776.1	4660001	4659768	234	Antirestriction protein klcA	- none -	4659768	4660001	
fig|6666666.541064.peg.4601	CDS	LR740776.1	4660246	4660019	228	Antirestriction protein klcA	- none -	4660019	4660246	
fig|6666666.541064.peg.4602	CDS	LR740776.1	4661146	4660328	819	FIG00638146: hypothetical protein	- none -	4660328	4661146	
fig|6666666.541064.peg.4603	CDS	LR740776.1	4661476	4661282	195	FIG074102: hypothetical protein	- none -	4661282	4661476	
