Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.2816	CDS	LR740776.1	2831410	2830934	477	Putative oligoketide cyclase/dehydratase or lipid transport protein YfjG	Possible RNA degradation cluster	2830934	2831410	
fig|6666666.541064.peg.2817	CDS	LR740776.1	2831542	2832024	483	tmRNA-binding protein SmpB	Heat shock dnaK gene cluster extended, Translation termination factors bacterial	2831542	2832024	
fig|6666666.541064.peg.2818	CDS	LR740776.1	2832786	2833997	1212	Phage integrase, Phage P4-associated	- none -	2832786	2833997	
fig|6666666.541064.peg.2819	CDS	LR740776.1	2835132	2834248	885	hypothetical protein	- none -	2834248	2835132	
fig|6666666.541064.peg.2820	CDS	LR740776.1	2836141	2835569	573	FIG054316: Phage polarity suppression protein	- none -	2835569	2836141	
fig|6666666.541064.peg.2821	CDS	LR740776.1	2837132	2836398	735	FIG070121: Phage capsid and scaffold protein	- none -	2836398	2837132	
fig|6666666.541064.peg.2822	CDS	LR740776.1	2837372	2837515	144	hypothetical protein	- none -	2837372	2837515	
fig|6666666.541064.peg.2823	CDS	LR740776.1	2837685	2837951	267	probable prophage regulatory protein	- none -	2837685	2837951	
fig|6666666.541064.peg.2824	CDS	LR740776.1	2837948	2838547	600	FIG118045: Phage immunity repressor protein	- none -	2837948	2838547	
fig|6666666.541064.peg.2825	CDS	LR740776.1	2838540	2838827	288	Phage protein	- none -	2838540	2838827	
fig|6666666.541064.peg.2826	CDS	LR740776.1	2838820	2839275	456	FIG032397: Phage protein	- none -	2838820	2839275	
fig|6666666.541064.peg.2827	CDS	LR740776.1	2839411	2839731	321	FIG018226: DNA replication protein, phage-associated	- none -	2839411	2839731	
fig|6666666.541064.peg.2828	CDS	LR740776.1	2839746	2842079	2334	Zinc binding domain / DNA primase (EC 2.7.7.-), Phage P4-associated / Replicative helicase RepA, Phage P4-associated	- none -	2839746	2842079	
fig|6666666.541064.peg.2829	CDS	LR740776.1	2844064	2843231	834	hypothetical protein	- none -	2843231	2844064	
fig|6666666.541064.peg.2830	CDS	LR740776.1	2845464	2846252	789	FIG00638862: hypothetical protein	- none -	2845464	2846252	
fig|6666666.541064.peg.2831	CDS	LR740776.1	2847617	2846844	774	FIG00638142: hypothetical protein	- none -	2846844	2847617	
fig|6666666.541064.peg.2832	CDS	LR740776.1	2848107	2848244	138	DNA-damage-inducible protein I	DNA repair, bacterial	2848107	2848244	
fig|6666666.541064.peg.2833	CDS	LR740776.1	2848669	2850558	1890	FIG00638869: hypothetical protein	- none -	2848669	2850558	
fig|6666666.541064.peg.2834	CDS	LR740776.1	2850812	2851303	492	hypothetical protein	- none -	2850812	2851303	
fig|6666666.541064.peg.2835	CDS	LR740776.1	2851306	2851749	444	Tail fiber assembly protein	- none -	2851306	2851749	
fig|6666666.541064.peg.2836	CDS	LR740776.1	2852323	2851721	603	Tail fiber assembly protein	- none -	2851721	2852323	
fig|6666666.541064.peg.2837	CDS	LR740776.1	2853066	2852323	744	Prophage tail fiber protein	Prophage cluster in the proteobacteria	2852323	2853066	
fig|6666666.541064.peg.2838	CDS	LR740776.1	2853654	2853070	585	FIG121501: Prophage tail protein	Prophage cluster in the proteobacteria	2853070	2853654	
fig|6666666.541064.peg.2839	CDS	LR740776.1	2854703	2853645	1059	Phage FluMu protein gp47	Prophage cluster in the proteobacteria	2853645	2854703	
fig|6666666.541064.peg.2840	CDS	LR740776.1	2855115	2854690	426	Bacteriophage protein GP46	Prophage cluster in the proteobacteria	2854690	2855115	
fig|6666666.541064.peg.2841	CDS	LR740776.1	2855663	2855115	549	Prophage baseplate assembly protein V	Prophage cluster in the proteobacteria	2855115	2855663	
fig|6666666.541064.peg.2842	CDS	LR740776.1	2856742	2855663	1080	FIG003269: Prophage tail protein	Prophage cluster in the proteobacteria	2855663	2856742	
fig|6666666.541064.peg.2843	CDS	LR740776.1	2858067	2856739	1329	Phage tail/DNA circulation protein	Phage tail proteins, Prophage cluster in the proteobacteria	2856739	2858067	
fig|6666666.541064.peg.2844	CDS	LR740776.1	2859963	2858128	1836	Phage tail length tape-measure protein	Phage tail proteins, Phage tail proteins 2, Prophage cluster in the proteobacteria	2858128	2859963	
fig|6666666.541064.peg.2845	CDS	LR740776.1	2860138	2859956	183	FIG00640428: hypothetical protein	- none -	2859956	2860138	
fig|6666666.541064.peg.2846	CDS	LR740776.1	2860374	2860105	270	FIG00638370: hypothetical protein	- none -	2860105	2860374	
fig|6666666.541064.peg.2847	CDS	LR740776.1	2860730	2860374	357	Phage tail tube protein	Phage tail proteins, Prophage cluster in the proteobacteria	2860374	2860730	
fig|6666666.541064.peg.2848	CDS	LR740776.1	2862226	2860730	1497	Bacteriophage tail sheath protein	Prophage cluster in the proteobacteria	2860730	2862226	
fig|6666666.541064.peg.2849	CDS	LR740776.1	2862380	2862210	171	Mu-like prophage FluMu protein GP38	Prophage cluster in the proteobacteria	2862210	2862380	
