Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|6666666.541064.peg.3959	CDS	LR740776.1	4001516	3999198	2319	Alpha-xylosidase (EC 3.2.1.-)	Xylose utilization	3999198	4001516	
fig|6666666.541064.peg.3960	CDS	LR740776.1	4002908	4001526	1383	Xyloside transporter XynT	Xylose utilization	4001526	4002908	
fig|6666666.541064.rna.78	RNA	LR740776.1	4003201	4003291	91	tRNA-SeC(p)-TCA	- none -	4003201	4003291	
fig|6666666.541064.peg.3961	CDS	LR740776.1	4003595	4004779	1185	Phage integrase	- none -	4003595	4004779	
fig|6666666.541064.peg.3962	CDS	LR740776.1	4005190	4006233	1044	ShiA homolog	- none -	4005190	4006233	
fig|6666666.541064.peg.3963	CDS	LR740776.1	4006388	4006606	219	hypothetical protein	- none -	4006388	4006606	
fig|6666666.541064.peg.3964	CDS	LR740776.1	4007701	4006631	1071	Transcriptional regulator, LacI family	- none -	4006631	4007701	
fig|6666666.541064.peg.3965	CDS	LR740776.1	4008035	4009264	1230	Hexuronate transporter	D-Galacturonate and D-Glucuronate Utilization	4008035	4009264	
fig|6666666.541064.peg.3966	CDS	LR740776.1	4009279	4011660	2382	Alpha-glucosidase (EC 3.2.1.20)	D-Galacturonate and D-Glucuronate Utilization, Maltose and Maltodextrin Utilization	4009279	4011660	
fig|6666666.541064.peg.3967	CDS	LR740776.1	4012546	4012301	246	Mobile element protein	- none -	4012301	4012546	
fig|6666666.541064.peg.3968	CDS	LR740776.1	4012950	4012675	276	Mobile element protein	- none -	4012675	4012950	
fig|6666666.541064.peg.3969	CDS	LR740776.1	4014545	4013583	963	Fructokinase (EC 2.7.1.4)	Fructose utilization, Mannitol Utilization	4013583	4014545	
fig|6666666.541064.peg.3970	CDS	LR740776.1	4015672	4014659	1014	hypothetical protein	- none -	4014659	4015672	
fig|6666666.541064.peg.3971	CDS	LR740776.1	4017178	4015685	1494	Sucrose-6-phosphate hydrolase (EC 3.2.1.B3)	- none -	4015685	4017178	
fig|6666666.541064.peg.3972	CDS	LR740776.1	4018458	4017193	1266	hypothetical protein	- none -	4017193	4018458	
fig|6666666.541064.peg.3973	CDS	LR740776.1	4019984	4018551	1434	Sucrose-6-phosphate hydrolase (EC 3.2.1.B3)	- none -	4018551	4019984	
fig|6666666.541064.peg.3974	CDS	LR740776.1	4021215	4020004	1212	Sucrose permease, major facilitator superfamily	- none -	4020004	4021215	
fig|6666666.541064.peg.3975	CDS	LR740776.1	4021483	4022478	996	Sucrose specific transcriptional regulator CscR, LacI family	- none -	4021483	4022478	
fig|6666666.541064.peg.3976	CDS	LR740776.1	4023671	4023417	255	Mobile element protein	- none -	4023417	4023671	
fig|6666666.541064.peg.3977	CDS	LR740776.1	4024600	4023785	816	Mobile element protein	- none -	4023785	4024600	
fig|6666666.541064.peg.3978	CDS	LR740776.1	4025013	4024648	366	Mobile element protein	- none -	4024648	4025013	
fig|6666666.541064.peg.3979	CDS	LR740776.1	4025328	4025615	288	Mobile element protein	- none -	4025328	4025615	
fig|6666666.541064.peg.3980	CDS	LR740776.1	4025694	4025813	120	Mobile element protein	- none -	4025694	4025813	
fig|6666666.541064.peg.3981	CDS	LR740776.1	4026619	4026735	117	Mobile element protein	- none -	4026619	4026735	
fig|6666666.541064.peg.3982	CDS	LR740776.1	4026790	4027716	927	Mobile element protein	- none -	4026790	4027716	
fig|6666666.541064.peg.3983	CDS	LR740776.1	4027735	4027920	186	Mobile element protein	- none -	4027735	4027920	
fig|6666666.541064.peg.3984	CDS	LR740776.1	4028199	4028065	135	hypothetical protein	- none -	4028065	4028199	
fig|6666666.541064.peg.3985	CDS	LR740776.1	4028936	4028181	756	Sugar efflux transporter SotB	- none -	4028181	4028936	
fig|6666666.541064.peg.3986	CDS	LR740776.1	4029731	4029342	390	Aldo-keto reductase	- none -	4029342	4029731	
fig|6666666.541064.peg.3987	CDS	LR740776.1	4029888	4030631	744	Mobile element protein	- none -	4029888	4030631	
fig|6666666.541064.peg.3988	CDS	LR740776.1	4030592	4030909	318	Mobile element protein	- none -	4030592	4030909	
fig|6666666.541064.peg.3989	CDS	LR740776.1	4030912	4031688	777	Mobile element protein	- none -	4030912	4031688	
fig|6666666.541064.peg.3990	CDS	LR740776.1	4032219	4031794	426	orf, conserved hypothetical protein	- none -	4031794	4032219	
fig|6666666.541064.peg.3991	CDS	LR740776.1	4032371	4032216	156	FIG00639161: hypothetical protein	- none -	4032216	4032371	
fig|6666666.541064.peg.3992	CDS	LR740776.1	4033335	4032766	570	Intergenic-region protein	- none -	4032766	4033335	
fig|6666666.541064.peg.3993	CDS	LR740776.1	4033541	4033741	201	FIG00639191: hypothetical protein	- none -	4033541	4033741	
