FT   variation       5039
FT                   /colour=2
FT                   /gene=thiL
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       7982
FT                   /colour=2
FT                   /gene=dsrB
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       631
FT                   /colour=4
FT                   /gene=rcsB_1
FT                   /taxa="CFT073"
FT   variation       4856
FT                   /colour=2
FT                   /gene=smpB
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       2155
FT                   /colour=4
FT                   /gene=group_5659
FT                   /taxa="chi7122"
FT   variation       1098
FT                   /colour=4
FT                   /gene=group_3926
FT                   /taxa="BEN2908"
FT   variation       1747
FT                   /colour=8
FT                   /gene=group_4363
FT                   /taxa="CFT073 IHE3034 RS218 UIT89"
FT   variation       675
FT                   /colour=2
FT                   /gene=manX_2
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       2231
FT                   /colour=4
FT                   /gene=setC
FT                   /taxa="chi7122"
FT   variation       4861
FT                   /colour=4
FT                   /gene=group_5766
FT                   /taxa="chi7122"
FT   variation       7228
FT                   /colour=7
FT                   /gene=tfaE_1
FT                   /taxa="APECO1 BEN2908 IHE3034 RS218 UIT89 chi7122"
FT   variation       4508
FT                   /colour=5
FT                   /gene=group_4531
FT                   /taxa="IHE3034 UIT89"
FT   variation       187
FT                   /colour=4
FT                   /gene=group_43
FT                   /taxa="CFT073"
FT   variation       4370
FT                   /colour=2
FT                   /gene=yehB
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       7007
FT                   /colour=4
FT                   /gene=group_4889
FT                   /taxa="NRG857c"
FT   variation       3293
FT                   /colour=2
FT                   /gene=sad
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       1007
FT                   /colour=4
FT                   /gene=group_7464
FT                   /taxa="IMT5155"
FT   variation       145
FT                   /colour=2
FT                   /gene=rdgC
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       2223
FT                   /colour=2
FT                   /gene=uhpT
FT                   /taxa="78-Pyelo APECO1 BEN2908 CFT073 IHE3034 IMT5155 LF82 NRG857c RS218 UIT89 chi7122"
FT   variation       6449
FT                   /colour=4
FT                   /gene=group_6448
FT                   /taxa="IMT5155"
FT   variation       6361
